origin_zone,destination_zone,trip_count,private,public,other,mixed,non_motorized,distance
792,54,17.18234,1.0,0.0,0.0,0.0,0.0,
783,762,80.98271,0.0,1.0,0.0,0.0,0.0,
783,999,,,,,,,
783,43,130.1706,0.0,1.0,0.0,0.0,0.0,
792,7,17.2058,0.0,1.0,0.0,0.0,0.0,
785,784,663.8533,0.0,1.0,0.0,0.0,0.0,
783,15,47.41349,0.0,1.0,0.0,0.0,0.0,
785,16,80.82804,0.0,1.0,0.0,0.0,0.0,
785,34,56.825680000000006,0.0,1.0,0.0,0.0,0.0,
783,109,130.1706,1.0,0.0,0.0,0.0,0.0,
783,48,360.3078,0.0,1.0,0.0,0.0,0.0,
639,646,949.7559,0.8476687536239574,0.15233124637604253,0.0,0.0,0.0,2.0791576824647575
783,7,34.93625,0.0,1.0,0.0,0.0,0.0,
786,9,,,,,,,
792,0,34.36468,1.0,0.0,0.0,0.0,0.0,
0,792,17.18234,1.0,0.0,0.0,0.0,0.0,
786,783,700.807,0.14770714333618243,0.0,0.0,0.0,0.8522928566638176,
785,763,34.114,1.0,0.0,0.0,0.0,0.0,
786,20,,,,,,,
786,49,1456.5,0.0,1.0,0.0,0.0,0.0,
783,737,,,,,,,
784,792,153.5686,1.0,0.0,0.0,0.0,0.0,
784,783,173.5805,0.0,0.0,0.0,0.0,1.0,
786,640,400.4623,0.0,1.0,0.0,0.0,0.0,
785,788,45.353320000000004,0.0,1.0,0.0,0.0,0.0,
783,788,,,,,,,
786,0,310.9729,1.0,0.0,0.0,0.0,0.0,
783,848,118.1287,1.0,0.0,0.0,0.0,0.0,
799,797,,,,,,,
799,795,,,,,,,
797,760,317.3914,0.0,1.0,0.0,0.0,0.0,
797,797,373.54699,0.0,0.0,0.849669274540266,0.0,0.150330725459734,
796,68,,,,,,,
798,776,21.44441,1.0,0.0,0.0,0.0,0.0,
15,35,17.899729999999998,1.0,0.0,0.0,0.0,0.0,2.931882091277649
798,797,47.52819,0.7969030590056133,0.0,0.0,0.0,0.2030969409943867,
797,798,17.899729999999998,1.0,0.0,0.0,0.0,0.0,
798,464,21.44441,1.0,0.0,0.0,0.0,0.0,
798,15,17.899739999999998,0.0,1.0,0.0,0.0,0.0,
798,307,17.899729999999998,1.0,0.0,0.0,0.0,0.0,
800,803,64.74001,0.0,0.0,0.0,0.0,1.0,
799,999,,,,,,,
799,803,,,,,,,
803,799,,,,,,,
798,737,,,,,,,
795,795,,,,,,,
801,801,,,,,,,
801,803,,,,,,,
799,44,,,,,,,
799,365,,,,,,,
799,799,,,,,,,
799,773,21.98314,1.0,0.0,0.0,0.0,0.0,
793,795,288.75543999999996,0.66658733771388,0.1610102652957811,0.172402396990339,0.0,0.0,
793,793,70.93462,0.0,0.0,0.0,0.0,1.0,
797,256,,,,,,,
798,798,30.52137,1.0,0.0,0.0,0.0,0.0,
803,793,88.62575,0.0,0.0,1.0,0.0,0.0,
795,444,143.789,0.0,0.0,0.0,1.0,0.0,
799,16,19.10626,0.0,1.0,0.0,0.0,0.0,
799,424,57.685019999999994,0.0,1.0,0.0,0.0,0.0,
799,46,50.27196,0.0,1.0,0.0,0.0,0.0,
799,0,,,,,,,
793,776,15.08009,1.0,0.0,0.0,0.0,0.0,
776,793,15.08009,1.0,0.0,0.0,0.0,0.0,
793,760,69.04262,1.0,0.0,0.0,0.0,0.0,
793,797,306.03830000000005,0.0,0.5536042384237528,0.0,0.0,0.4463957615762471,
797,793,136.6142,0.0,0.0,0.0,0.0,1.0,
793,129,5.99084,0.0,1.0,0.0,0.0,0.0,
793,857,6.21979,0.0,1.0,0.0,0.0,0.0,
793,365,6.15996,1.0,0.0,0.0,0.0,0.0,
798,763,77.11192,0.0,1.0,0.0,0.0,0.0,
803,0,24.22107,0.0,0.0,1.0,0.0,0.0,
799,760,12.272390000000001,0.5379807845089669,0.4620192154910331,0.0,0.0,0.0,
799,764,5.5109699999999995,0.0,1.0,0.0,0.0,0.0,
803,797,,,,,,,
803,803,122.69108,0.2776512359333702,0.0,0.7223487640666297,0.0,0.0,
803,16,62.70827,0.0,1.0,0.0,0.0,0.0,
795,346,,,,,,,
799,865,,,,,,,
793,799,14.36343,0.0,1.0,0.0,0.0,0.0,
800,0,71.49339,0.0,0.0,0.0,0.0,1.0,
800,797,87.85969999999999,0.0,0.0,1.0,0.0,0.0,
803,18,130.9647,0.0,1.0,0.0,0.0,0.0,
800,800,45.52351,0.0,0.0,0.0,0.0,1.0,
800,402,21.479860000000002,1.0,0.0,0.0,0.0,0.0,
799,766,95.47313,0.0,0.0,0.0,0.0,1.0,
799,779,57.685019999999994,0.0,1.0,0.0,0.0,0.0,
799,20,100.468,0.0,1.0,0.0,0.0,0.0,
799,15,5.64674,0.0,1.0,0.0,0.0,0.0,
799,574,8.64969,0.0,1.0,0.0,0.0,0.0,
799,411,4.53441,1.0,0.0,0.0,0.0,0.0,
795,841,206.6467,0.0,1.0,0.0,0.0,0.0,
795,760,206.6467,0.0,1.0,0.0,0.0,0.0,
798,865,13.611889999999999,0.0,1.0,0.0,0.0,0.0,
418,57,,,,,,,
418,537,,,,,,,
418,704,,,,,,,
418,418,,,,,,,
801,849,113.6976,1.0,0.0,0.0,0.0,0.0,
801,793,82.21795999999999,0.0,0.0,1.0,0.0,0.0,
795,797,34.835879999999996,1.0,0.0,0.0,0.0,0.0,
795,15,58.3687,0.0,1.0,0.0,0.0,0.0,
799,793,,,,,,,
766,2,17.899729999999998,1.0,0.0,0.0,0.0,0.0,18.826917132521483
182,20,17.899739999999998,0.0,1.0,0.0,0.0,0.0,10.66969838091723
798,652,39.344139999999996,1.0,0.0,0.0,0.0,0.0,
798,146,18.08905,1.0,0.0,0.0,0.0,0.0,
798,466,19.97563,1.0,0.0,0.0,0.0,0.0,
798,803,37.87536,1.0,0.0,0.0,0.0,0.0,
803,418,17.899729999999998,1.0,0.0,0.0,0.0,0.0,
798,417,17.899739999999998,0.0,0.0,0.0,1.0,0.0,
802,126,,,,,,,
0,801,111.3283,1.0,0.0,0.0,0.0,0.0,
803,801,15.635520000000001,0.0,0.0,0.0,0.0,1.0,
801,549,30.043290000000002,0.0,0.0,0.0,1.0,0.0,
801,278,22.187520000000003,0.0,0.0,1.0,0.0,0.0,
793,291,36.86705,0.0,1.0,0.0,0.0,0.0,
793,803,69.45640999999999,0.0,0.0,1.0,0.0,0.0,
793,798,47.002159999999996,0.0,0.0,1.0,0.0,0.0,
797,799,20.97886,0.0,0.0,0.0,0.0,1.0,
795,821,10.63855,1.0,0.0,0.0,0.0,0.0,
803,24,,,,,,,
795,35,,,,,,,
795,429,,,,,,,
795,799,208.9116,0.0,0.0,1.0,0.0,0.0,
797,826,144.3337,1.0,0.0,0.0,0.0,0.0,
799,768,5.80119,0.0,1.0,0.0,0.0,0.0,
799,207,100.4592,0.0,1.0,0.0,0.0,0.0,
799,462,,,,,,,
803,185,21.703979999999998,1.0,0.0,0.0,0.0,0.0,
185,172,21.703979999999998,1.0,0.0,0.0,0.0,0.0,1.1045159174905022
803,184,22.53346,1.0,0.0,0.0,0.0,0.0,
803,391,42.13275,1.0,0.0,0.0,0.0,0.0,
391,803,12.90818,1.0,0.0,0.0,0.0,0.0,
65,102,,,,,,,13.951079489927046
55,22,1362.885,0.0,1.0,0.0,0.0,0.0,8.116474386583349
55,16,1419.993,0.0,1.0,0.0,0.0,0.0,6.108323222153443
55,138,2808.812,0.0,1.0,0.0,0.0,0.0,2.518493739463489
138,55,1388.819,0.0,1.0,0.0,0.0,0.0,2.518493739463489
59,61,861.8139,1.0,0.0,0.0,0.0,0.0,1.2965059355266735
